time/s,Ewe/V
7377.133056801016,-0.24440251
7377.32245679872,-0.23435438
7377.701856794127,-0.22434059
7378.549656783871,-0.21433544
7386.393856688897,-0.20433223
7416.393856325682,-0.20038441
7446.393855962466,-0.19857849
7476.39385559925,-0.19745217
7506.393855236034,-0.19666949
7536.393854872818,-0.19613877
7566.393854509603,-0.19568825
7596.393854146387,-0.195337
7626.393853783171,-0.19516136
7656.393853419955,-0.19492464
7686.393853056739,-0.19481774
7716.393852693524,-0.1947452
7746.393852330308,-0.19464593
7776.393851967092,-0.19464594
7806.393851603876,-0.19462684
7836.39385124066,-0.19456957
7866.393850877444,-0.19447793
7896.393850514229,-0.19442067
7926.393850151013,-0.19438249
7956.393849787797,-0.19430231
7977.1330495367,-0.19426031
